#Years    WideImaging%    DeepImaging%    Prism%    NearbySNe    WideImagingFilters    DeepImagingFilters    WideImagingCadence    DeepImagingCadence    PrismCadence    RubinDDF    ZWide    ZDeep    WideImagingDeg^2    DeepImagingDeg^2    DispersionModel    MeanModelTraining    DistMod.fits                      
0.500     000             000             40        00800        RRZYJH                YYJHF                 04                    12                    5               True        0.3      1.8      0                   12                  NIRLower           True                 all_matrices/cov_mat_0048.fits    
0.500     000             000             40        00800        RRZYJH                YYJHF                 04                    12                    5               True        0.3      1.8      0                   12                  NIRLower           False                all_matrices/cov_mat_0049.fits    
0.500     000             000             38        00800        RRZYJH                RZZYJH                10                    06                    5               False       0.8      2.3      0                   11                  TwinsLower         True                 all_matrices/cov_mat_0050.fits    
0.500     000             000             38        00800        RRZYJH                RZZYJH                10                    06                    5               False       0.8      2.3      0                   11                  NIRLower           True                 all_matrices/cov_mat_0051.fits    
0.500     000             000             38        00800        RRZYJH                RZZYJH                10                    06                    5               False       0.8      2.3      0                   11                  NIRLower           True                 all_matrices/cov_mat_0052.fits    
0.500     000             000             38        00800        RRZYJH                RZZYJH                10                    06                    5               False       0.8      2.3      0                   11                  NIRLower           False                all_matrices/cov_mat_0053.fits    
0.500     000             000             38        00800        RRZYJH                RZZYJH                10                    06                    5               True        0.8      2.3      0                   11                  TwinsLower         True                 all_matrices/cov_mat_0054.fits    
0.500     000             000             38        00800        RRZYJH                RZZYJH                10                    06                    5               True        0.8      2.3      0                   11                  NIRLower           True                 all_matrices/cov_mat_0055.fits    
0.500     000             000             38        00800        RRZYJH                RZZYJH                10                    06                    5               True        0.8      2.3      0                   11                  NIRLower           True                 all_matrices/cov_mat_0056.fits    
0.500     000             000             38        00800        RRZYJH                RZZYJH                10                    06                    5               True        0.8      2.3      0                   11                  NIRLower           False                all_matrices/cov_mat_0057.fits    
0.500     000             000             38        00800        RRZYJH                YYJHF                 10                    12                    5               False       0.6      1.5      0                   13                  TwinsLower         True                 all_matrices/cov_mat_0058.fits    
0.500     000             000             38        00800        RRZYJH                YYJHF                 10                    12                    5               False       0.6      1.5      0                   13                  NIRLower           True                 all_matrices/cov_mat_0059.fits    
0.500     000             000             38        00800        RRZYJH                YYJHF                 10                    12                    5               False       0.6      1.5      0                   13                  NIRLower           False                all_matrices/cov_mat_0060.fits    
0.500     000             000             38        00800        RRZYJH                YYJHF                 10                    12                    5               True        0.6      1.5      0                   13                  TwinsLower         True                 all_matrices/cov_mat_0061.fits    
0.500     000             000             38        00800        RRZYJH                YYJHF                 10                    12                    5               True        0.6      1.5      0                   13                  NIRLower           True                 all_matrices/cov_mat_0062.fits    
0.500     000             000             38        00800        RRZYJH                YYJHF                 10                    12                    5               True        0.6      1.5      0                   13                  NIRLower           False                all_matrices/cov_mat_0063.fits    
0.500     000             000             38        00800        RRZYJHF               ZZYJHF                06                    12                    5               False       0.9      1.8      0                   11                  TwinsLower         True                 all_matrices/cov_mat_0064.fits    
0.500     000             000             38        00800        RRZYJHF               ZZYJHF                06                    12                    5               False       0.9      1.8      0                   11                  NIRLower           True                 all_matrices/cov_mat_0065.fits    
0.500     000             000             38        00800        RRZYJHF               ZZYJHF                06                    12                    5               False       0.9      1.8      0                   11                  NIRLower           False                all_matrices/cov_mat_0066.fits    
0.500     000             000             38        00800        RRZYJHF               ZZYJHF                06                    12                    5               True        0.9      1.8      0                   11                  TwinsLower         True                 all_matrices/cov_mat_0067.fits    
0.500     000             000             38        00800        RRZYJHF               ZZYJHF                06                    12                    5               True        0.9      1.8      0                   11                  NIRLower           True                 all_matrices/cov_mat_0068.fits    
0.500     000             000             38        00800        RRZYJHF               ZZYJHF                06                    12                    5               True        0.9      1.8      0                   11                  NIRLower           False                all_matrices/cov_mat_0069.fits    
0.500     000             000             36        00800        RRZJH                 ZZRYJHF               04                    12                    5               False       0.4      1.7      0                   11                  TwinsLower         True                 all_matrices/cov_mat_0070.fits    
0.500     000             000             36        00800        RRZJH                 ZZRYJHF               04                    12                    5               False       0.4      1.7      0                   11                  NIRLower           True                 all_matrices/cov_mat_0071.fits    
0.500     000             000             36        00800        RRZJH                 ZZRYJHF               04                    12                    5               False       0.4      1.7      0                   11                  NIRLower           False                all_matrices/cov_mat_0072.fits    
0.500     000             000             36        00800        RRZJH                 ZZRYJHF               04                    12                    5               True        0.4      1.7      0                   11                  TwinsLower         True                 all_matrices/cov_mat_0073.fits    
